Year,Months,Holder
1958,January–June,Belgium
1958,July–December,West Germany
1959,January–June,France
1959,July–December,Italy
1960,January–June,Luxembourg
1960,July–December,Netherlands
1961,January–June,Belgium
1961,July–December,West Germany
1962,January–June,France
1962,July–December,Italy
1963,January–June,Luxembourg
1963,July–December,Netherlands
1964,January–June,Belgium
1964,July–December,West Germany
1965,January–June,France
1965,July–December,Italy
1966,January–June,Luxembourg
1966,July–December,Netherlands
1967,January–June,Belgium
1967,July–December,West Germany
1968,January–June,France
1968,July–December,Italy
1969,January–June,Luxembourg
1969,July–December,Netherlands
1970,January–June,Belgium
1970,July–December,West Germany
1971,January–June,France
1971,July–December,Italy
1972,January–June,Luxembourg
1972,July–December,Netherlands
1973,January–June,Belgium
1973,July–December,Denmark
1974,January–June,West Germany
1974,July–December,France
1975,January–June,Ireland
1975,July–December,Italy
1976,January–June,Luxembourg
1976,July–December,Netherlands
1977,January–June,United Kingdom
1977,July–December,Belgium
1978,January–June,Denmark
1978,July–December,West Germany
1979,January–June,France
1979,July–December,Ireland
1980,January–June,Italy
1980,July–December,Luxembourg
1981,January–June,Netherlands
1981,July–December,United Kingdom
1982,January–June,Belgium
1982,July–December,Denmark
1983,January–June,West Germany
1983,July–December,Greece
1984,January–June,France
1984,July–December,Ireland
1985,January–June,Italy
1985,July–December,Luxembourg
1986,January–June,Netherlands
1986,July–December,United Kingdom
1987,January–June,Belgium
1987,July–December,Denmark
1988,January–June,West Germany
1988,July–December,Greece
1989,January–June,Spain
1989,July–December,France
1990,January–June,Ireland
1990,July–December,Italy
1991,January–June,Luxembourg
1991,July–December,Netherlands
1992,January–June,Portugal
1992,July–December,United Kingdom
1993,January–June,Denmark
1993,July–December,Belgium
1994,January–June,Greece
1994,July–December,Germany
1995,January–June,France
1995,July–December,Spain
1996,January–June,Italy
1996,July–December,Ireland
1997,January–June,Netherlands
1997,July–December,Luxembourg
1998,January–June,United Kingdom
1998,July–December,Austria
1999,January–June,Germany
1999,July–December,Finland
2000,January–June,Portugal
2000,July–December,France
2001,January–June,Sweden
2001,July–December,Belgium
2002,January–June,Spain
2002,July–December,Denmark
2003,January–June,Greece
2003,July–December,Italy
2004,January–June,Ireland
2004,July–December,Netherlands
2005,January–June,Luxembourg
2005,July–December,United Kingdom
2006,January–June,Austria
2006,July–December,Finland
2007,January–June,Germany
2007,July–December,Portugal
2008,January–June,Slovenia
2008,July–December,France
2009,January–June,Czechia
2009,July–December,Sweden
2010,January–June,Spain
2010,July–December,Belgium
2011,January–June,Hungary
2011,July–December,Poland
2012,January–June,Denmark
2012,July–December,Cyprus
2013,January–June,Ireland
2013,July–December,Lithuania
2014,January–June,Greece
2014,July–December,Italy
2015,January–June,Latvia
2015,July–December,Luxembourg
2016,January–June,Netherlands
2016,July–December,Slovakia
2017,January–June,Malta
2017,July–December,Estonia
2018,January–June,Bulgaria
2018,July–December,Austria
2019,January–June,Romania
2019,July–December,Finland
2020,January–June,Croatia
2020,July–December,Germany
